track_id,track_artist,track_popularity,track_album_id,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_date_converted,track_album_release_date_year,playlist_count_per_song,duration_minutes,playlist_genre_count_per_song
7zzzmpw8l66zpjh1m6qmos,moonstar88,61,4t3ftecyv1gclhmpbhxsfb,2008-07-28,0.664,0.537,2,-6.0,1,0.029,0.217,2.88e-06,0.118,0.221,115.049,2008-07-28,2008.0,1,4.47,1
7zylobyw4qukqdyzob4j0y,father mc,36,14hymxfhpgdir9cci1u0kt,2010-10-01,0.832,0.666,1,-4.92,0,0.0633,0.143,0.0,0.072,0.81,109.536,2010-10-01,2010.0,1,3.73,1
7zye9v6b785efwefys13c2,ponderosa twins plus one,40,1xdglmtfmsyjyi5djoox7t,2013-07-09,0.458,0.54,5,-6.457,0,0.027,0.715,0.000428,0.115,0.657,142.218,2013-07-09,2013.0,1,3.19,1
7zycspvjdcqh6yt1fel2ky,nicki minaj,49,5qs8t6zhsrnllnouuk6muc,2014-12-15,0.963,0.603,2,-6.224,1,0.18,0.0673,5.93e-06,0.214,0.647,129.99,2014-12-15,2014.0,1,4.34,1
7zxzwcvuz7whiuyzyealxt,qulinez,0,1l4aoukbpgi5u2oae2r4zj,2014-03-24,0.479,0.8,10,-5.778,0,0.0878,0.00555,0.0,0.335,0.211,128.012,2014-03-24,2014.0,1,3.48,1
7zxrmhxxjmqceddg0rkavo,nav,72,4jr29cnw14zc4z5vflxkoj,2017-02-24,0.744,0.715,0,-6.103,1,0.351,0.101,0.0,0.0919,0.34,154.962,2017-02-24,2017.0,1,3.0,1
7zxlkzbuxithabpzgn8xgc,boy pablo,64,1lesm5y1vavrcleglmyfow,2018-10-05,0.425,0.504,9,-10.003,1,0.0314,0.022,3.84e-06,0.363,0.403,165.818,2018-10-05,2018.0,1,2.6,1
7zwyzs3mms4ycqkq02vnzc,gesaffelstein,43,18y6apqhkwutkzho4fc8sj,2019-10-04,0.637,0.94,2,-5.494,1,0.0502,0.126,0.865,0.187,0.0896,107.056,2019-10-04,2019.0,1,4.26,1
7zwosmqwghscfzrvo5r5nr,lalo ebratt,57,7itoc8dbpns1yu0u8dzxt2,2019-12-12,0.715,0.745,9,-6.265,0,0.187,0.192,1.13e-05,0.0807,0.802,191.985,2019-12-12,2019.0,1,3.67,1
7zu9pctnh6q4nbnrg47xz0,major lazer,0,18w3fsbqo332yxjpqvswxh,2013-05-31,0.799,0.605,7,-10.011,1,0.286,0.00845,0.0143,0.485,0.368,194.055,2013-05-31,2013.0,1,3.46,1
7ztvqp4ptrffinc7seyp8y,two can,0,6praeb09c0h8t7jckllucp,2016-11-28,0.57,0.878,9,-6.131,0,0.0955,0.146,7.78e-06,0.227,0.158,125.98,2016-11-28,2016.0,1,3.63,1
7zttdkklkj2ihaqq1dadcr,monsune,65,6wwxmhwemim9saayzcfvyl,2019-08-30,0.689,0.463,2,-8.121,0,0.0365,0.066,0.000152,0.145,0.864,86.998,2019-08-30,2019.0,1,3.77,1
7ztn8tfxyac8lbrylzjla1,enzo dong,62,1bsofq0zlhvleti66xgclj,2019-10-09,0.667,0.766,7,-5.513,0,0.0905,0.282,0.0,0.127,0.724,74.776,2019-10-09,2019.0,1,3.47,1
